NCBI GeneID	Symbol	Common Name	Synonyms
30314	apoeb	zebrafish	apoe,cb82,zeh1311,hm:zeh1311,wu:fa03d06,wu:fa97a11,wu:fc95h12,wu:fj54e06
559931	vtg2	zebrafish	vg2,zfVtg2,si:dkey-4c23.2
81881	crx	zebrafish	
30430	dnmt1	zebrafish	ddn,mta,cb983,dmnt1,cb1075,fb05h01,wu:fb05h01
30597	hbae1.1	zebrafish	hba2,HBA2r,HBAA1,hbae1,dZ118J2.6,zgc:86936,wu:fa12a11,wu:fb74f06,SI:dZ118J2.8,si:by119c3.1,si:by119c3.3,SI:dZ118J2.10,si:xx-119c3.3
30710	igf2a	zebrafish	igf2,igf2b,IGF-II,zgc:91781,wu:fc26e03
373074	dnd1	zebrafish	dnd,cb736,wu:fi22d10,zgc:111864
378727	pck1	zebrafish	cb856,cb924,fj93h11,zgc:63869,wu:fc51c05,wu:fj93h11
554167	tnfb	zebrafish	tnf,Tnf-alpha,tnfa-like
352910	mib1	zebrafish	mib,cg5841,fe47f05,chunp6889,im:7148100,wu:fe47f05
252913	h2az2a	zebrafish	h2afv,h2afz,h2aza,h2afva,H2A.F/Z
30255	tfa	zebrafish	trf,gavi,cb285,sb:cb285,id:ibd3238,id:ibd3525,wu:fb57g06,wu:fb62h02,wu:fb63h10,wu:fb64h10,zgc:112154
30273	snai1a	zebrafish	sna1,cb643,sna-1,snai1,snail1,snail1a,zgc:109820
30523	tcf7l1a	zebrafish	tcf3,tcf-3,tcf3a
30636	six3b	zebrafish	SIX3,six6,cb347,six3.2
64271	epha4a	zebrafish	ek2,rtk1,zek2,EphA4,apha3,cb246,epha3,sb:cb246,zgc:109882
799354	cxcl12b	zebrafish	SDF1b,sdf-1b,cxc112b,zgc:136720
30256	kita	zebrafish	kit,c-kit,sparse,receptor
360142	mxa	zebrafish	Mx,fj23d12,wu:fj23d12,zgc:136725
562171	nr3c2	zebrafish	mr,si:ch211-189l17.1
140747	cxcr4a	zebrafish	cb824
30281	npy	zebrafish	si:dkey-22m8.5
30532	pax3a	zebrafish	pax3,zgc:92547
373080	tuba1b	zebrafish	cb944,tuba1,fb22g06,wu:fb22g06
378452	cdh17	zebrafish	cb903,fb65d02,wu:fb65d02
558919	col10a1a	zebrafish	col10a1,fa66d11,wu:fa66d11,wu:fb10c08
60639	pax6b	zebrafish	cb566,Pax6.2,fc09c10,id:ibd5095,wu:fc09c10,wu:fc33g08
114437	spry4	zebrafish	cb511,zSpry4,sprouty4,wu:fb92b06
140614	xbp1	zebrafish	cb918,treb5,trebf,xbp1a,xbp1b,id:ibd1195,wu:fb02h05,wu:fb63f10
260407	tp63	zebrafish	p63,DNp63,tp73l,fc89f04,id:ibd3516,wu:fc89f04,wu:fk85h07,wu:fk88b02
30210	mafba	zebrafish	kr,val,krml,mafb,kreisler,wu:fc22d11,wu:fj82a09
30587	pax7a	zebrafish	
30591	hsp90aa1.1	zebrafish	hsp90,hsp90a,fb17b01,hsp90a.1,zgc:86652,hsp90alpha,wu:fb17b01
378964	emx1	zebrafish	zgc:101821
368320	gmnn	zebrafish	sb:cb254,zgc:66217
30140	clocka	zebrafish	clock,zCLOCK1,zfCLOCK1
30512	ret	zebrafish	cret,ret1,c-ret,wu:fd13h01,etID315074.13
393686	rpl8	zebrafish	zgc:73105,zgc:77641
30526	msx3	zebrafish	mshC,msxc,msh-C,msx-c,homeobox,zgc:86596
30569	dlx5a	zebrafish	dlx4,zgc:101787
30658	rag2	zebrafish	rag-2,zgc:136743
336471	col1a2	zebrafish	zehn2357,alpha2(I),wu:fa98d05,wu:fa99g10,wu:fb04c08,wu:fb11d06,hm:zehn2357
378762	ighm	zebrafish	ighm1,wu:fj14a08,zgc:101769
561445	slc5a5	zebrafish	si:ch211-200a16.4
561924	ddit3	zebrafish	zgc:162630
57936	tbx20	zebrafish	hrt,whz,cb826,ZF-TBX20
64807	vox	zebrafish	vega1,zgc:136532
751763	bbc3	zebrafish	
30615	acvr1l	zebrafish	laf,mfn,alk2,alk8,acvr1,alk8sum,fk50h05,lost-a-fin,wu:fk50h05,etID124543.2
405784	runx2a	zebrafish	
58132	her7	zebrafish	cb715
192294	tbx6	zebrafish	tbx24,tbx6r,z.TBX24,ZF-TBX24,id:ibd5070
368200	piwil1	zebrafish	ziwi
58039	dazl	zebrafish	
30671	hsp70.3	zebrafish	hsp70,hspa1a,hsp70-4
407712	tph2	zebrafish	tphR,wu:fq15a04
60632	wnt3a	zebrafish	wnt3,wnt3l,wnt3 l,wnt[a],Zwnt[a]
791124	cyp11c1	zebrafish	cyp11b2
30436	eya1	zebrafish	wu:fc13c10,zgc:100770
323473	prdm1a	zebrafish	nrd,ubo,prdm1,Blimp1,Blimp-1,zgc:91885,wu:fb99c12
402923	dmrt1	zebrafish	zgc:136676
30541	foxa1	zebrafish	fkd7,forkhead-7
30584	bmp7a	zebrafish	bmp7,fb83f09,wu:fb83f09
353179	otx5	zebrafish	cb828
353313	foxi1	zebrafish	foo,cb724
414333	lck	zebrafish	zgc:136695
557714	pparab	zebrafish	ppara,ppara1,pparal,PPAR[a]
566470	gdf6a	zebrafish	rdr,cb278,bmp13a,sb:cb278
613239	hcrt	zebrafish	
64810	vent	zebrafish	vega2,vent1,wu:fe36b11
798441	mstnb	zebrafish	gdf8,mstn,mstn-1,zgc:109749
30746	tie1	zebrafish	tie-1,sb:eu718
30747	tek	zebrafish	tie2,tie-2
317638	igfbp1a	zebrafish	cb656,igfbp1,IGFBP-1
259258	p2rx4a	zebrafish	p2x4,p2rx4,wu:fi03f02
30596	hbbe3	zebrafish	zgc:110736
368206	tbx1	zebrafish	zgc:136724,mp:zf637-3-000616
368882	tbp	zebrafish	fd20h06,zgc:66213,wu:fd20h06,si:zc101n13.2
415099	rela	zebrafish	p65,nfkb3
117508	klf2a	zebrafish	fb08e06,wu:fb08e06,etID35223.22
245701	igf1ra	zebrafish	IGF-IRa,sb:eu1090,wu:fi20b10
30325	hoxa2b	zebrafish	Z-75,hoxa2
30641	smad5	zebrafish	SBN,mad,pgy,smd5,madh5,fb67b04,sb:cb400,wu:fb67b04
353246	nrp1a	zebrafish	np-1,nrp1,znrp1,npn-1A,zgc:111785,zgc:136674
58129	fgfr3	zebrafish	fc27h01,sb:eu563,wu:fc27h01
30503	opn1mw1	zebrafish	RH2-1,rh2.1,zfgr1,grops1
553637	cyp1c1	zebrafish	zgc:110607
569575	pgr	zebrafish	pg,pr,gb:dq017620
796163	vsx2	zebrafish	alx,Vsx-2,chx10
100000160	fgfr4	zebrafish	wu:fc13h10,zgc:111935,etID309818.21
100005469	fn1a	zebrafish	Fn,fn1,fn2,fb80d10,wu:fb80d10
30474	rx3	zebrafish	
30685	aanat2	zebrafish	AA-NAT
321622	hmgb1a	zebrafish	hmgb1,zgc:56110,zgc:77104,tdsubc_1a5,wu:fb23c02,ik:tdsubc_1a5,xx:tdsubc_1a5
405763	kcnh6a	zebrafish	erg,kcnh2,kcnh6
692352	nphs1	zebrafish	nphs1l
100150939	nes	zebrafish	
30355	apoa1a	zebrafish	apoa,cb49,apoa1,Apo-AIa,ApoA-Ia,wu:fb33f01,zgc:103718
324215	igf2b	zebrafish	igf2a,fc21h08,wu:fc21h08,wu:fc34h12
352940	fgfr2	zebrafish	fgfr-2,fgfr2b,fgfr2c,fc56c05,wu:fc56c05
