NCBI GeneID	Symbol	Common Name	Synonyms
22416	Wnt3a	house mouse	vt,Wnt-3a
60533	Cd274	house mouse	B7h1,Pdl1,Pdcd1l1,Pdcd1lg1,A530045L16Rik
77605	H2az2	house mouse	H2av,H2afv,H2A.Z2,H2a.z-2,Wnt1cre,Wnt1-Cre,Wnt1::Cre,C530002L11Rik,Tg(Wnt1-cre)11Rth
13433	Dnmt1	house mouse	Dnmt,MCMT,Met1,Cxxc9,MTase,Met-1,Dnmt1o,m.MmuI,MommeD2
18091	Nkx2-5	house mouse	Csx,Nkx2.5,tinman,Nkx-2.5
18145	Npc1	house mouse	spm,lcsd,nmf164,D18Ertd139e,D18Ertd723e,A430089E03Rik
18504	Pax2	house mouse	Opdc,Pax-2
18509	Pax7	house mouse	Pax-7
18823	Plp1	house mouse	jp,Plp,msd,rsh,DM20,jimpy
22352	Vim	house mouse	
109648	Npy	house mouse	0710005A05Rik
111507	Igh	house mouse	
11303	Abca1	house mouse	Abc1,ABC-1
11829	Aqp4	house mouse	WCH4
12310	Calca	house mouse	CA,Ct,Ctn,Calc,Cgrp,CGRP1,Calc1,CGRP-1
12479	Cd1d1	house mouse	Cd1a,Cd1d,CD1.1,Ly-38
12702	Socs3	house mouse	Cis3,Ef10,Ssi3,Cish3,EF-10,SSI-3
16591	Kl	house mouse	alpha-kl
18976	Pomc	house mouse	BE,Npp,ACTH,Clip,Pomc1,Pomc-1,Beta-LPH,alphaMSH,beta-MSH,Gamma-LPH,alpha-MSH,gamma-MSH
22227	Ucp1	house mouse	Ucp,Slc25a7
50913	Olig2	house mouse	RK17,Olg-2,Bhlhb1,Oligo2,bHLHe19
11628	Aicda	house mouse	Aid,Arp2
12286	Cacna1a	house mouse	BI,la,tg,EA2,FHM,MHP,rkr,APCA,HPCA,MHP1,SCA6,smrl,Caca1a,Cav2.1,Ccha1a,nmf352,alpha1A,Cacnl1a4
12606	Cebpa	house mouse	Cebp,CBF-A,C/ebpalpha
12753	Clock	house mouse	KAT13D,5330400M04Rik
13555	E2f1	house mouse	E2F-1,mKIAA4009,Tg(Wnt1-cre)2Sor
14056	Ezh2	house mouse	KMT6,Enx-1,Enx1h,mKIAA4065
14714	Gnrh1	house mouse	hpg,Gnrh,LHRH,Lnrh,Gnrh2,Lhrh1
